Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0361652072991743,0.0209571563714629,0.0360265460101268,0,0,0,23.1391773877476,0.0901948959488623,-0.000344245037062967,0.000224432800112885,0.11386885550254,6.89890451243286E-05,0.182487467777796,0,0,0,0,0,0,package://Sentry/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sentry/meshes/base_link.STL,,双云台哨兵 1.0,coordinate1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Chassis,-2.09513573531529E-16,-1.29871314037186E-16,-0.0385026416151116,0,0,0,0.365784675118433,0.00313588570698378,5.17041010652356E-19,2.10034857725736E-20,0.00475134223220478,2.3257116790865E-19,0.00776013365001336,0,0,0,0,0,0,package://Sentry/meshes/Chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Sentry/meshes/Chassis.STL,,铝管2-3;铝管1-2;铝管1-1;铝管2-2;铝管3-2;铝管3-1,coordinate1,Axis_Chassis_joint,Chassis_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_front_wheel,0.224237608711014,0.205734749943069,-0.56589992504796,0,0,0,3.14347452031998,0.0013281223280629,-1.99603658651915E-07,8.93610813921017E-05,0.00238436664920656,-3.18764132462127E-07,0.00145634161330943,0,0,0,0,0,0,package://Sentry/meshes/left_front_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sentry/meshes/left_front_wheel.STL,,镜向轮组总成1-4,coordinate10,,left_front_wheel_joint,fixed,0.0022393,-0.014243,0.49445,0,0,0,Chassis,0,0,0,,,,,,,,,,,,
left_back_wheel,0.00900625022640131,-0.0272216603227659,0.00733263522059664,0,0,0,3.14347307281103,0.00132812069608075,1.99602975673153E-07,-8.93650905062005E-05,0.00238434946639035,-3.18857551081761E-07,0.00145632627546313,0,0,0,0,0,0,package://Sentry/meshes/left_back_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sentry/meshes/left_back_wheel.STL,,镜向镜向轮组总成-6,coordinate11,,left_back_wheel_joint,fixed,-0.23548,0.21871,-0.078787,0,0,0,Chassis,0,0,0,,,,,,,,,,,,
right_front_wheel,-0.00719422511859347,0.0136356534620527,0.00586296136496067,0,0,0,0.500580129176451,0.000180618617620217,2.54267110732137E-08,1.07310374088478E-05,0.000320984495250024,4.06191472314219E-08,0.000194731512248974,0,0,0,0,0,0,package://Sentry/meshes/right_front_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sentry/meshes/right_front_wheel.STL,,轮组总成-1,coordinate8,,right_front_wheel_joint,fixed,0.23548,-0.20873,-0.078787,0,0,0,Chassis,0,0,0,,,,,,,,,,,,
right_back_wheel,0.0090062504187996,0.0288091370025805,0.00733263141143595,0,0,0,3.14347454131268,0.00132812234993347,-1.99600997038991E-07,-8.9361083673393E-05,0.0023843666825101,3.18759485189024E-07,0.00145634162448225,0,0,0,0,0,0,package://Sentry/meshes/right_back_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sentry/meshes/right_back_wheel.STL,,镜向轮组总成-4,coordinate9,Axis_right_back_wheel_joint,right_back_wheel_joint,fixed,-0.235483156242427,-0.2203004,-0.0787868895364083,0,0,0,Chassis,0,0,0,,,,,,,,,,,,
upgimbal_link,3.32950504469179E-05,4.12686977637409E-06,-0.00866776269784081,0,0,0,0.779400391526425,0.00117503651819949,1.12609499250783E-06,4.92543674610869E-07,0.00103760390271041,1.94169224855473E-07,0.00216490716761119,0,0,0,0,0,0,package://Sentry/meshes/upgimbal_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sentry/meshes/upgimbal_link.STL,,上云台安装座-1,coordinate7,,upgimbal_link_joint,fixed,0,0,0.31,0,0,0,base_link,0,0,0,,,,,,,,,,,,
upcamera_link,-0.038896508717941,-3.8158428096513E-05,-3.37741495733124E-05,0,0,0,0.0482396274549949,6.10199080113175E-06,-2.09828914202951E-08,-4.04959339884708E-08,7.67990710831925E-06,-1.43937613390361E-08,7.68703272101705E-06,0,0,0,0,0,0,package://Sentry/meshes/upcamera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Sentry/meshes/upcamera_link.STL,,上云台-1/云台-大恒摄像头（视觉模块）-1,coordinate5,,upcamera_link_joint,fixed,0.057075,-0.16444,0.11195,-1.415,0.44274,-1.2195,upgimbal_link,0,0,0,,,,,,,,,,,,
upbarrel_link,0.0140671917569359,0.0348786886626151,-0.0314546800266944,0,0,0,0.215832204586531,0.000172674249636239,-3.11788205958883E-05,1.94307340695988E-05,0.000108358544586341,6.7026523411629E-05,0.00013292973726168,0,0,0,0,0,0,package://Sentry/meshes/upbarrel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sentry/meshes/upbarrel_link.STL,,上云台-1/上枪管-1,coordinate6,,upbarrel_link_joint,fixed,0.042235,-0.12395,0.079789,1.3141,0.29744,0.84041,upgimbal_link,0,0,0,,,,,,,,,,,,
upIMU_link,-0.00107062049053538,0.00480713814115752,-0.000815241276103482,0,0,0,0.0159371927735236,3.50288332094388E-06,-7.46866649845592E-09,-2.85208014085966E-08,5.3852290679013E-06,-5.37049618502615E-07,2.07507777659705E-06,0,0,0,0,0,0,package://Sentry/meshes/upIMU_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://Sentry/meshes/upIMU_link.STL,,上云台-1/主控板-1,coordinate13,Axis_upIMU_link_joint,upIMU_link_joint,fixed,0.00223929697723385,-0.0142434745906101,0.1844456669845,-1.41504521069234,0.442742365421604,-1.21948340935391,upgimbal_link,0,0,0,,,,,,,,,,,,
